Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
BOA ESPERANCA,Tamboril,SERTAO CENTRAL E INHAMUNS,543.6,N.I.,N.I.
ACUDE CARAO,Tamboril,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
FAZENDA NOVA,Tamboril,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
BARREIROS DE BAIXO,Potengi,SERTAO CENTRAL E INHAMUNS,384.7,N.I.,N.I.
VILA ESCONDIDO,Potengi,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
VILA ALECRIM,Potengi,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
SITIO QUENQUELERE,Potengi,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
BELEM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,613.6,N.I.,N.I.
PAUS BRANCOS,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
NENELANDIA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
ACUDE PIRABIBU,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
RIACHO VERDE,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
CHACARA CRAVO E ROSA,Salitre,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
CHAPADA DO ALEGRE,Salitre,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
CAMPESTRE,Salitre,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
SITIO MILHANS,Salitre,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
SERRA DO BAIXIO DO MOCO,Salitre,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
MARRECAS,Tauá,SERTAO CENTRAL E INHAMUNS,480.2,N.I.,N.I.
VERA CRUZ,Tauá,SERTAO CENTRAL E INHAMUNS,508.8,N.I.,N.I.
AC. TRICI,Tauá,SERTAO CENTRAL E INHAMUNS,239,N.I.,N.I.
BONFIM,Senador Pompeu,SERTAO CENTRAL E INHAMUNS,623.8,N.I.,N.I.
IBUACU,Boa Viagem,SERTAO CENTRAL E INHAMUNS,516.2,N.I.,N.I.
DOMINGOS DA COSTA,Boa Viagem,SERTAO CENTRAL E INHAMUNS,488.4,N.I.,N.I.
PIEDADE,Boa Viagem,SERTAO CENTRAL E INHAMUNS,316.5,N.I.,N.I.
AÇUDE VIEIRAO,Boa Viagem,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
ACUDE SAO JOSE I,Boa Viagem,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
FLAMENGO,Saboeiro,SERTAO CENTRAL E INHAMUNS,741.9,N.I.,N.I.
AC. RIACHO DO SANGUE,Solonópole,SERTAO CENTRAL E INHAMUNS,243.6,N.I.,N.I.
